hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.3118030896284905,103.75975140548066,80,Existing,"Blk 503, West Coast Drive, Singapore 120503",26/3/1979,HUP Standard Upgrading,0,80,0.704,Clementi,6.8,False,West,Large (40-80),10.0
Bedok North Street 3 Blk 538,1.3320672771423439,103.92462131526736,40,Existing,"Blk 538, Bedok North Street 3, Singapore 460538",30/4/1979,HUP Standard Upgrading,0,40,0.697,Bedok North,6.9,False,East,Medium (20-40),8.4
Pasir Ris Central Hawker Centre,1.373472520364779,103.95157134251521,42,Existing (new),"Blk 110, Pasir Ris Central, Singapore 519641",16/10/2017,New Centre,0,42,0.245,Pasir Ris,8.9,True,East,Large (40-80),9.9
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.3809876170167132,103.8406280871954,52,Existing,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",31/12/1979,HUP Rebuilding,0,52,0.47,Yio Chu Kang,7.9,True,North,Large (40-80),10.0
Adam Road Food Centre,1.3241598522323794,103.81416592401631,32,Existing,"2, Adam Road, Singapore 289876",1974,HUP Standard Upgrading,0,32,0.23,Botanic Gardens,9.0,True,Central,Medium (20-40),8.3
Kallang Estate Fresh Market and Food Centre,1.307343983274556,103.88401769942449,16,Existing,"17, Old Airport Road, Singapore 397972",1959,HUP Standard Upgrading,0,16,0.223,Mountbatten,9.0,True,North-East,Small (<20),7.0
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.4314477516178066,103.82853767194467,56,Existing,"Blk 104/105, Yishun Ring Road, Singapore 760104/760105",31/3/1984,HUP Standard Upgrading,0,56,0.775,Yishun,6.5,False,North,Large (40-80),9.8
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.3434881852952274,103.73773841154456,60,Existing,"Blk 254, Jurong East Street 24, Singapore 600254",30/4/1983,HUP Reconfiguration,0,60,0.627,Chinese Garden,7.2,False,West,Large (40-80),10.0
New Market Road Blk 32 (People's Park Food Centre),1.284858608203884,103.84257877119593,87,Existing,"Blk 32, New Market Road, Singapore 050032",1965,HUP Standard Upgrading,0,87,0.204,Chinatown,9.1,True,Central,Mega (80+),10.0
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.2733559939051546,103.80761812956985,40,Existing,"Blk 79, Telok Blangah Drive, Singapore 100079",30/5/1977,HUP Standard Upgrading,0,40,0.365,Telok Blangah,8.4,True,Central,Medium (20-40),9.5
Marsiling Mall Hawker Centre,1.4335431810333386,103.7798818923625,70,Existing (replacement),"Blk 4,Woodlands St 12,Singapore 738623",8/11/2017,New Replacement Centre,0,70,0.642,Marsiling,7.1,False,North,Large (40-80),10.0
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.3081177997946856,103.7927737690562,45,Existing,"Blk 44, Holland Drive, Singapore 270044",31/1/1999,HUP Standard Upgrading,0,45,0.335,Buona Vista,8.5,True,Central,Large (40-80),9.8
North Bridge Road Market,1.305634336272546,103.86390933661885,37,Existing,"861, North Bridge Road, Singapore 198783",1973,HUP Reconfiguration,0,37,0.206,Lavender,9.1,True,Central,Medium (20-40),9.2
Toa Payoh Lorong 4 Blk 93,1.3384746963913283,103.84951344899093,28,Existing,"Blk 93, Lorong 4 Toa Payoh, Singapore 310093",19/7/1967,HUP Standard Upgrading,0,28,0.37,Braddell,8.3,True,Central,Medium (20-40),8.5
